,Unnamed: 0,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
158,158,CHEMBL3449573,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccc(C)o2)on1,inactive,324.38400000000007,4.362940000000003,1.0,6.0,4.0
159,159,CHEMBL3449584,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccco2)on1,inactive,282.303,3.2743200000000003,1.0,6.0,4.0
160,160,CHEMBL3449584,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccco2)on1,inactive,282.303,3.2743200000000003,1.0,6.0,4.220408486564598
161,161,CHEMBL3449585,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccoc2C)on1,inactive,296.33000000000004,3.582740000000001,1.0,6.0,4.0
162,162,CHEMBL3449585,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccoc2C)on1,inactive,296.33000000000004,3.582740000000001,1.0,6.0,4.0
163,163,CHEMBL3449586,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccoc2)on1,inactive,282.303,3.2743200000000003,1.0,6.0,4.0
164,164,CHEMBL3449586,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccoc2)on1,inactive,282.303,3.2743200000000003,1.0,6.0,4.0
165,165,CHEMBL3449593,Cc1occc1-c1nc(NC2CCCC2)ncc1-c1ccccn1,inactive,320.39599999999996,4.461520000000004,1.0,5.0,4.0
166,166,CHEMBL3449593,Cc1occc1-c1nc(NC2CCCC2)ncc1-c1ccccn1,inactive,320.39599999999996,4.461520000000004,1.0,5.0,4.0
167,167,CHEMBL3450463,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccoc2C)on1,inactive,324.38400000000007,4.362940000000003,1.0,6.0,3.5400000004708225
168,168,CHEMBL3450463,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccoc2C)on1,inactive,324.38400000000007,4.362940000000003,1.0,6.0,4.263436665066019
169,169,CHEMBL3450463,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccoc2C)on1,inactive,324.38400000000007,4.362940000000003,1.0,6.0,4.0
170,170,CHEMBL3450463,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccoc2C)on1,inactive,324.38400000000007,4.362940000000003,1.0,6.0,4.162617458573611
171,171,CHEMBL3450463,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccoc2C)on1,inactive,324.38400000000007,4.362940000000003,1.0,6.0,4.282157310910245
172,172,CHEMBL3449667,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccoc2)on1,inactive,310.357,4.054520000000002,1.0,6.0,4.0
173,173,CHEMBL3449667,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccoc2)on1,inactive,310.357,4.054520000000002,1.0,6.0,4.0
174,174,CHEMBL3476014,COc1cc(-c2cccc3c2OC(CN)C3)ccc1O,inactive,271.3159999999999,2.3300000000000005,2.0,4.0,4.6560485328561345
175,175,CHEMBL3476014,COc1cc(-c2cccc3c2OC(CN)C3)ccc1O,inactive,271.3159999999999,2.3300000000000005,2.0,4.0,4.57673986832745
176,176,CHEMBL3478046,Cn1cnc(S(=O)(=O)N2C[C@@H]3CC[C@H](C2)N(Cc2ccccn2)C3)c1,inactive,361.47100000000006,1.1001999999999992,0.0,6.0,4.0
177,177,CHEMBL3478046,Cn1cnc(S(=O)(=O)N2C[C@@H]3CC[C@H](C2)N(Cc2ccccn2)C3)c1,inactive,361.47100000000006,1.1001999999999992,0.0,6.0,4.0
178,178,CHEMBL3479102,COc1ccc(CC2(CO)CCN(c3cc(C#N)ccn3)CC2)cc1,inactive,337.42300000000006,2.783480000000001,1.0,5.0,4.0
179,179,CHEMBL3479102,COc1ccc(CC2(CO)CCN(c3cc(C#N)ccn3)CC2)cc1,inactive,337.42300000000006,2.783480000000001,1.0,5.0,4.0
180,180,CHEMBL3478357,CN(C)S(=O)(=O)NC1CCCc2c1cnn2-c1ccc(C(C)(C)C)cc1,inactive,376.5260000000001,2.943200000000001,1.0,4.0,4.0
181,181,CHEMBL3478357,CN(C)S(=O)(=O)NC1CCCc2c1cnn2-c1ccc(C(C)(C)C)cc1,inactive,376.5260000000001,2.943200000000001,1.0,4.0,4.0
182,182,CHEMBL3478563,CN1CCC(c2n[nH]c(=O)n2-c2cccc(Cl)c2)CC1,inactive,292.7700000000001,2.0231999999999997,1.0,4.0,4.0
183,183,CHEMBL3478563,CN1CCC(c2n[nH]c(=O)n2-c2cccc(Cl)c2)CC1,inactive,292.7700000000001,2.0231999999999997,1.0,4.0,4.0
184,184,CHEMBL3477688,NCC1Cc2cccc(-c3ccc(O)c(F)c3)c2O1,inactive,259.28,2.4605000000000006,2.0,3.0,4.898337800436037
185,185,CHEMBL3477688,NCC1Cc2cccc(-c3ccc(O)c(F)c3)c2O1,inactive,259.28,2.4605000000000006,2.0,3.0,4.91256750620584
186,186,CHEMBL3473024,CNc1nc(C(=O)N2CCCC(COc3ccc(F)cc3)C2)cs1,inactive,349.43100000000004,3.2551000000000023,1.0,5.0,4.0
187,187,CHEMBL3473024,CNc1nc(C(=O)N2CCCC(COc3ccc(F)cc3)C2)cs1,inactive,349.43100000000004,3.2551000000000023,1.0,5.0,4.0
188,188,CHEMBL3485062,Cn1ncc2c(NC3CCC3)nc(-c3ccncc3)nc21,inactive,280.33500000000004,2.3897000000000004,1.0,6.0,4.0
189,189,CHEMBL3485062,Cn1ncc2c(NC3CCC3)nc(-c3ccncc3)nc21,inactive,280.33500000000004,2.3897000000000004,1.0,6.0,4.0
190,190,CHEMBL3483391,Cc1nc(N)nc(C)c1CC(=O)N1CCC2(CC1)OCCCC2O,inactive,334.4200000000001,0.7506399999999998,2.0,6.0,4.0
191,191,CHEMBL3483391,Cc1nc(N)nc(C)c1CC(=O)N1CCC2(CC1)OCCCC2O,inactive,334.4200000000001,0.7506399999999998,2.0,6.0,4.0
192,192,CHEMBL3481587,O=C1CC2(CCN(Cc3ccc(-c4ccccc4)s3)C2)C(=O)N1,inactive,326.4210000000001,2.6537000000000006,1.0,4.0,4.0
193,193,CHEMBL3481587,O=C1CC2(CCN(Cc3ccc(-c4ccccc4)s3)C2)C(=O)N1,inactive,326.4210000000001,2.6537000000000006,1.0,4.0,4.0
194,194,CHEMBL3486487,Cc1nc(N2CCN(C)CC2)ncc1C(=O)N1CCC(O)(CO)CC1,inactive,349.4350000000002,-0.5037799999999983,2.0,7.0,4.0
195,195,CHEMBL3486487,Cc1nc(N2CCN(C)CC2)ncc1C(=O)N1CCC(O)(CO)CC1,inactive,349.4350000000002,-0.5037799999999983,2.0,7.0,4.0
